array_station,deploy_lat,deploy_long,deploy_date_time
WBA23,41.63258,-82.95848,2015-07-06T14:20:00Z
WBA24,41.58619,-82.96642,2015-07-06T14:30:00Z
WBA15,41.749,-82.90324,2015-07-06T19:58:00Z
WBA14,41.7491,-82.9932,2015-07-07T13:53:00Z
ENS101,41.7342,-82.6537,2019-10-30T14:12:00Z
ENS104,41.8221,-82.6731,2019-10-30T18:12:00Z
ENS111,41.6202,-82.6948,2019-11-25T16:18:00Z
ENS112,41.6894,-82.7976,2019-11-25T16:54:00Z
ENS113,41.6606,-82.81501,2019-11-25T17:11:00Z
ENS111,41.6202,-82.6948,2020-04-24T15:30:00Z
ENS112,41.6894,-82.7976,2020-04-24T16:04:00Z
ENS113,41.6606,-82.815,2020-04-24T16:29:00Z
ENS101,41.73449,-82.65301,2020-10-26T17:10:00Z
ENS104,41.8217,-82.67249,2020-10-26T18:48:00Z
LEG14,41.84755,-82.68318,2020-10-26T19:38:00Z
LEG21,41.76011,-82.80668,2020-10-27T15:21:00Z
ENS111,41.6201,-82.6948,2020-12-18T16:04:00Z
LEG26,41.6772,-82.7728,2020-12-18T16:42:00Z
ENS112,41.6894,-82.7976,2020-12-18T17:06:00Z
ENS113,41.6604,-82.8154,2020-12-18T17:39:00Z
LEG14,41.84769,-82.68359,2021-09-29T13:52:00Z
ENS104,41.82212,-82.67247,2021-09-29T14:24:00Z
LEG21,41.76032,-82.80701,2021-09-29T16:15:00Z
ENS101,41.73467,-82.65314,2021-09-29T17:27:00Z
ENS111,41.62001,-82.6946,2022-05-03T13:10:00Z
ENS112,41.6895,-82.7975,2022-05-03T13:43:00Z
WBA14,41.7182,-82.7565,2022-05-03T15:25:00Z
WBA24,41.63001,-82.7582,2022-05-03T15:25:00Z
LEG26,41.6773,-82.7725,2022-05-03T15:40:00Z
WBA23,41.6194,-82.8771,2022-05-09T14:35:00Z
LEG21,41.7605,-82.8066,2022-05-10T04:15:00Z
LEG14,41.8478,-82.6834,2022-05-10T17:25:00Z
ENS104,41.822,-82.6727,2022-05-10T18:05:00Z
ENS101,41.7344,-82.6537,2022-05-10T19:23:00Z
SGN24,41.66001,-82.79446,2022-09-08T21:10:00Z
WBA15,41.7178,-82.8714,2022-09-19T23:03:00Z
ENS113,41.6603,-82.8153,2022-09-21T23:20:00Z
LEG26,41.6773,-82.7725,2022-10-06T18:00:00Z
ENS101,41.7344,-82.6537,2023-04-26T15:58:00Z
WBA14,41.7168,-82.7605,2023-04-26T16:32:00Z
ENS112,41.6892,-82.7977,2023-04-26T16:55:00Z
ENS113,41.6605,-82.8151,2023-04-26T17:12:00Z
LEG26,41.6774,-82.7726,2023-04-26T18:28:00Z
ENS111,41.6199,-82.6949,2023-04-26T18:50:00Z
WBA24,41.6295,-82.7567,2023-05-04T14:23:00Z
LEG21,41.7605,-82.8064,2023-05-04T14:49:00Z
LEG14,41.8477,-82.6836,2023-05-04T16:19:00Z
ENS104,41.8219,-82.6729,2023-05-04T16:39:00Z
SMB9,44.83814,-87.54292,2023-05-10T19:40:00Z
SMB10,44.84554,-87.53998,2023-05-10T19:52:00Z
SMB16,44.84917,-87.53945,2023-05-10T19:59:00Z
SMB17,44.84966,-87.54729,2023-05-10T20:07:00Z
SMB18,44.84142,-87.5531,2023-05-10T20:20:00Z
SMB19,45.16356,-87.19285,2023-05-23T20:33:00Z
SMB11,45.16297,-87.17346,2023-05-23T20:55:00Z
SMB12,45.15635,-87.18756,2023-05-23T21:13:00Z
SMB13,45.1509,-87.1819,2023-05-23T21:21:00Z
SMB15,45.0501,-87.29658,2023-05-29T22:05:00Z
SMB18,41.62601,-82.64704,2023-06-09T17:45:00Z
SMB9,41.67104,-82.69036,2023-06-09T18:00:00Z
SMB12,41.65432,-82.78523,2023-06-09T18:18:00Z
SMB11,41.62625,-82.79904,2023-06-09T18:27:00Z
SMB10,41.63971,-82.85077,2023-06-09T18:45:00Z
